Category,Total_Spent_INR,Avg_Transaction_INR,Transactions
Rent,305176701.6,17987.545773900743,16966
Loan EMI,144221451.85,11975.54196213568,12043
Shopping,43339847.68,2217.5525828898894,19544
Travel,21673312.65,2235.283895420792,9696
Groceries,15592379.66,634.4813696846388,24575
Education,13589788.02,2255.5664763485474,6025
Healthcare,13171964.56,2227.2513628677716,5914
Transport,10771343.15,636.0403395335105,16935
Dining,10746278.34,634.1483736575003,16946
Utilities,9196092.89,632.425066364074,14541
Transfer,9111757.11,631.1829530340814,14436
Entertainment,7668064.34,636.5123549431394,12047
Subscriptions,7068260.54,638.5059205058717,11070
Other,4643042.3,638.4821644664466,7272
Cash Withdrawal,4527443.41,635.6090706163134,7123
Insurance,3836226.01,639.6908470902117,5997
