Month,Income_INR,Expense_INR,Net_INR,Transactions
2021-01,29662523.21,8653790.98,21008732.23,3821
2021-02,27497648.49,9174333.77,18323314.72,3508
2021-03,32435939.26,9764677.35,22671261.910000004,3911
2021-04,27607717.03,9124561.33,18483155.700000003,3654
2021-05,28512143.3,9813152.64,18698990.66,3879
2021-06,28969105.25,9073992.35,19895112.9,3747
2021-07,29640980.78,10473443.45,19167537.330000002,3867
2021-08,30190559.96,10098318.68,20092241.28,3922
2021-09,29084819.95,9095863.58,19988956.369999997,3744
2021-10,28528613.11,8864376.53,19664236.58,3730
2021-11,30024773.23,8980880.86,21043892.37,3750
2021-12,30619586.43,9696976.28,20922610.15,3840
2022-01,28657293.85,9673454.29,18983839.560000002,3810
2022-02,28323715.68,8800266.06,19523449.619999997,3469
2022-03,30425706.59,10134981.7,20290724.89,3919
2022-04,28871956.9,9301991.13,19569965.769999996,3681
2022-05,27213912.5,9839478.2,17374434.3,3895
2022-06,28186032.56,9217946.11,18968086.45,3784
2022-07,30244964.8,9730496.45,20514468.35,3834
2022-08,29595589.35,9853289.95,19742299.400000002,3872
2022-09,29433416.5,9740495.42,19692921.08,3717
2022-10,30811301.77,9511847.85,21299453.92,3868
2022-11,29693438.44,9014622.55,20678815.89,3677
2022-12,31359324.169999998,10133219.74,21226104.43,4040
2023-01,31033520.29,9533166.34,21500353.95,3812
2023-02,26363328.4,8356635.72,18006692.68,3354
2023-03,31527961.34,9991752.43,21536208.91,3969
2023-04,27329189.2,9698437.14,17630752.06,3742
2023-05,31083354.96,9696274.07,21387080.89,3862
2023-06,27621947.67,8972043.91,18649903.76,3683
2023-07,30115541.91,9721178.07,20394363.84,3801
2023-08,30412753.9,9907657.97,20505095.93,3862
2023-09,30345328.24,9701897.3,20643430.939999998,3766
2023-10,30526150.99,9961722.53,20564428.46,3879
2023-11,28764110.6,10029897.29,18734213.310000002,3807
2023-12,31771020.64,9453911.54,22317109.1,3867
2024-01,30699551.98,9242087.68,21457464.3,3906
2024-02,26360365.95,9341000.59,17019365.36,3572
2024-03,27795472.54,9601006.9,18194465.64,3781
2024-04,29016578.91,9099841.93,19916736.98,3740
2024-05,29985662.48,10277929.41,19707733.07,3953
2024-06,28331454.830000002,8781707.8,19549747.03,3726
2024-07,29525535.37,9570577.2,19954958.17,3916
2024-08,30557223.43,9575945.76,20981277.67,3884
2024-09,29085109.63,9254465.56,19830644.07,3760
2024-10,27534429.12,8757267.03,18777162.090000004,3762
2024-11,28030576.39,9558025.59,18472550.8,3830
2024-12,30752999.16,9916962.84,20836036.32,3908
2025-01,29649363.03,8880151.39,20769211.64,3864
2025-02,27587865.34,8388986.46,19198878.88,3419
2025-03,29042773.97,10451151.66,18591622.31,3884
2025-04,29771738.05,8916111.75,20855626.3,3797
2025-05,30337376.6,10296036.67,20041339.93,3965
2025-06,30769850.6,9502038.88,21267811.72,3732
2025-07,31850052.57,9080824.38,22769228.189999998,3726
2025-08,27476681.01,9261829.52,18214851.490000002,3797
2025-09,28668697.47,9284187.75,19384509.72,3726
2025-10,28558967.33,10124625.75,18434341.58,3766
2025-11,29511196.04,9529236.21,19981959.83,3748
2025-12,32357290.17,9103075.55,23254214.62,3875
2026-01,28562932.15,9626793.19,18936138.96,3772
2026-02,29424795.75,8189087.08,21235708.67,3460
2026-03,31495930.26,9557633.8,21938296.46,3820
2026-04,28214416.27,9550746.53,18663669.740000002,3859
2026-05,30437412.17,9939540.43,20497871.740000002,3922
2026-06,29767936.71,8884047.26,20883889.450000003,3787
